ECHO_ID,event_short,Task Age Window,Responsible Staff,Responsibility Start,Last Observed,Assignment Source
CVH892-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CXB725-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CXB725-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CYS167-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CYS167-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CZK707-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CZX247-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
CZX247-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
CZX247-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
CZY180-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CZY408-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CZY408-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
DCP767-01-A,Caregiver Survey,24_35_month,Cassie,2026-09-15,2026-09-22,Ripple tag
DCP767-01-A,IPA Scheduled,24_35_month,Cassie,2026-09-15,2026-09-22,Ripple tag
DDF581-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
DDF581-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
DDF581-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
DFB473-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
DFB473-01-B,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
DHH526-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
DHH526-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
DHH526-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
DHM804-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
DLW793-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
DLW793-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
DRG492-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
DTQ848-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
DTQ848-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
DXH431-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
DYK248-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
FBF788-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
FBF788-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
FBF788-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
FGC147-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
FGC147-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
FGC147-01-A,ECHO 2 Re-Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
FGC147-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
FGD590-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
FGD590-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Ripple tag
FGD590-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Ripple tag
FGL622-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
FKJ961-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FKJ961-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FKJ961-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FKT089-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
FNC855-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
FNC855-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
FQF816-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
FQF816-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
FQF816-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
FQH249-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
FQH249-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
FVG772-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FVG772-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FVG772-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FVG772-01-N,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FVG772-01-N,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FVG772-01-N,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
FZV796-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
GBH901-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GBH901-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GDJ477-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GDJ477-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GDN788-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GDN788-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GGF358-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
GGF358-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
GGF358-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
GHD547-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
GHD547-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
GHD547-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
GJB876-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
GJB876-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
GJB876-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
GMB721-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GMB721-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GNX561-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
GRM073-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GRM073-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GXM057-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GXM057-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GXN388-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
GXN388-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
GXN388-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
GYL243-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GYL243-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GZD028-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GZD028-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GZR716-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
GZR716-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
HFT023-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HFT023-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HFT023-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HHW537-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
HHW537-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
HHW537-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
HKG602-01-A,Caregiver Survey,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
HKG602-01-A,ECHO 2 Re-Consent,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
HKG602-01-A,IPA Scheduled,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
HKN599-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
HPX087-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
HQK219-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
HRG544-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
HRG544-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
HVB288-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HVB288-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HVB288-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HWV734-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
HWV734-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
HWV734-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
HYH412-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HYH412-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HYH412-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HZM174-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HZM174-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
HZM174-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
JBM041-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JBM041-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JBV363-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
JCX999-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JCX999-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JFL342-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JFL342-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JJT668-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JJT668-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JLN021-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JLN021-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JNL946-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
JNL946-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
JNL946-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
JNW534-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JNW534-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JNW534-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
JQN133-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JQN133-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JTM922-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
JTM922-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
JTM922-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
JWP930-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JWP930-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JXP185-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JXP185-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JYR948-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JYR948-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JZC874-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JZC874-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
JZC874-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
KBB279-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
KBB279-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
KBB279-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
KFX637-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
KGN694-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
KJR619-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KJR619-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KKK768-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
KKK768-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
KKK768-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
KLZ533-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KLZ533-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KLZ533-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
KML208-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
KPV524-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
KQD426-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KQD426-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KQD426-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KQM140-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KQM140-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KQM140-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KRK077-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
KRK077-01-B,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
KRR544-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KRR544-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KRS023-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KRS023-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KWL832-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KWL832-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KWL832-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
KWV665-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KWV665-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KXF530-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KXF530-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
KYL770-01-A,Caregiver Survey,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
KYL770-01-A,ECHO 2 Re-Consent,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
KYL770-01-A,IPA Scheduled,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
LBZ361-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LBZ361-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LFW850-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
LFW850-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
LFW850-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
LGG437-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
LGT156-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
LGZ547-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
LHC177-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LHC177-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LJD486-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
LJD486-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
LJD486-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
LLZ021-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LLZ021-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LLZ021-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
LMP796-01-A,Caregiver Survey,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
LMP796-01-A,ECHO 2 Re-Consent,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
LMP796-01-A,IPA Scheduled,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
LMX568-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
LNT397-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LNT397-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LQV674-01-A,Caregiver Survey,24_35_month,Cassie,2026-09-15,2026-09-22,Ripple tag
LQV674-01-A,IPA Scheduled,24_35_month,Cassie,2026-09-15,2026-09-22,Ripple tag
LRJ642-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LRJ642-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LSH641-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
LTS268-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LTS268-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LVK846-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
LVK846-01-A,ECHO 2 Re-Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
LVK846-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Anna,2026-09-15,2026-09-22,Age-window fallback
LZQ650-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LZQ650-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LZV055-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
LZV055-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
MCV334-01-A,Caregiver Survey,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
MCV334-01-A,ECHO 2 Re-Consent,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
MCV334-01-A,IPA Scheduled,not_applicable,Cassie,2026-09-15,2026-09-22,Ripple tag
MFH339-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
MFH339-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
MFY505-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Ripple tag
