FTM,Participant Cohort,Task,Outcome,Participants
Toye,6-35 month,12-23mo Child Urine,Complete,1
Toye,6-35 month,12-23mo Child Urine,Incomplete,3
Toye,6-35 month,12-23mo Hair,Complete,1
Toye,6-35 month,12-23mo Hair,Incomplete,3
Toye,6-35 month,12-23mo Mom Bloodspot,Complete,1
Toye,6-35 month,12-23mo Mom Bloodspot,Incomplete,3
Toye,6-35 month,In-Person Assessments,Complete,1
Toye,6-35 month,In-Person Assessments,Incomplete,1
Toye,6-35 month,In-Person Assessments,No record,2
Unassigned,3-20 year,11-17yr Child Hair,Incomplete,114
Unassigned,3-20 year,3-5yr Child Saliva,Complete,1
Unassigned,3-20 year,3-5yr Child Saliva,Incomplete,160
Unassigned,3-20 year,3yrs+ Tooth 1,Complete,1
Unassigned,3-20 year,3yrs+ Tooth 1,Incomplete,531
Unassigned,3-20 year,3yrs+ Tooth 1,No record,9
Unassigned,3-20 year,3yrs+ Tooth 2,Incomplete,532
Unassigned,3-20 year,3yrs+ Tooth 2,No record,9
Unassigned,3-20 year,3yrs+ Tooth 3,Incomplete,532
Unassigned,3-20 year,3yrs+ Tooth 3,No record,9
Unassigned,3-20 year,In-Person Assessments,Complete,3
Unassigned,3-20 year,In-Person Assessments,No record,538
Unassigned,6-35 month,12-23mo Child Bloodspot,Incomplete,54
Unassigned,6-35 month,12-23mo Child Urine,Incomplete,54
Unassigned,6-35 month,12-23mo Hair,Incomplete,54
Unassigned,6-35 month,12-23mo Mom Bloodspot,Incomplete,54
Unassigned,6-35 month,24-35mo Mom Urine,Incomplete,2
Unassigned,6-35 month,In-Person Assessments,No record,56
